[-1.06537411 -0.01609097]
[-1.07896879 -0.01359469]
[-1.09007482 -0.01110603]
[-1.09770151 -0.00762669]
[-1.10185684 -0.00415533]
[-1.1045457  -0.00268886]
[-1.10577147 -0.00122577]
[-1.10453574  0.00123573]
[-1.1008369   0.00369884]
[-1.09367036  0.00716654]
[-1.08302808  0.01064228]
[-1.07090023  0.01212785]
[-1.0572787   0.01362153]
[-1.04115831  0.01612039]
[-1.02253833  0.01861998]
[-1.00042519  0.02211314]
[-0.97483662  0.02558857]
[-0.94780672  0.0270299 ]
[-0.91938714  0.02841958]
[-0.88864909  0.03073805]
[-0.85568855  0.03296054]
[-0.81962938  0.03605917]
[-0.78063054  0.03899884]
[-0.7408894   0.03974114]
[-0.69963157  0.04125783]
[-0.65711401  0.04251756]
[-0.61462164  0.04249236]
[-0.57245506  0.04216658]
[-0.52892337  0.04353169]
[-0.48435174  0.04457163]
[-0.44107379  0.04327795]
[-0.39940847  0.04166532]
[-0.35965318  0.03975529]
[-0.3200785   0.03957468]
[-0.28093714  0.03914136]
[-0.2434592   0.03747794]
[-0.20784356  0.03561564]
[-0.17425748  0.03358608]
[-0.1438375   0.03041999]
[-0.11468835  0.02914915]
[-0.08689268  0.02779567]
[-0.06051254  0.02638013]
[-0.03759133  0.02292122]
[-0.01815423  0.0194371 ]
[-0.00121343  0.0169408 ]
[0.01422739 0.01544082]
[0.02817049 0.0139431 ]
[0.03862251 0.01045202]
[0.04559129 0.00696878]
[0.05008342 0.00449213]
[0.05210371 0.00202029]
[0.05265449 0.00055077]
[ 0.05173638 -0.0009181 ]
[ 0.04834834 -0.00338805]
[ 0.04148654 -0.0068618 ]
[ 0.03114408 -0.01034246]
[ 0.01831253 -0.01283155]
[ 0.00298474 -0.01532778]
[-0.01384294 -0.01682768]
[-0.03216847 -0.01832553]
[-0.05398236 -0.02181389]
[-0.07926355 -0.02528118]
[-0.10697438 -0.02771083]
[-0.13605758 -0.0290832 ]
[-0.16643539 -0.03037782]
[-0.198008  -0.0315726]
[-0.23265234 -0.03464434]
[-0.27021207 -0.03755973]
[-0.3084944  -0.03828233]
[-0.34728034 -0.03878595]
[-0.38632787 -0.03904753]
[-0.42637608 -0.04004821]
[-0.46814316 -0.04176708]
[-0.51132424 -0.04318108]
[-0.55559736 -0.04427312]
[-0.59963086 -0.0440335 ]
[-0.64309905 -0.04346819]
[-0.68469006 -0.04159101]
[-0.72411937 -0.03942931]
[-0.76313386 -0.03901449]
[-0.80150251 -0.03836865]
[-0.83802008 -0.03651757]
[-0.87251395 -0.03449387]
[-0.90384332 -0.03132937]
[-0.93190035 -0.02805703]
[-0.95860544 -0.02670509]
[-0.98389831 -0.02529287]
[-1.00673612 -0.02283781]
[-1.02709232 -0.02035621]
[-1.04395307 -0.01686075]
[-1.05731394 -0.01336087]
[-1.06917597 -0.01186202]
[-1.07954342 -0.01036745]
[-1.08742263 -0.00787921]
[-1.09282003 -0.0053974 ]
[-1.0947408  -0.00192077]
[-1.09318696  0.00155384]
[-1.09015688  0.00303008]
[-1.08564753  0.00450935]
[-1.0786548   0.00699274]
[-1.06917318  0.00948161]
[-1.056197    0.01297618]
[-1.03972173  0.01647527]
[-1.02174709  0.01797464]
[-1.00227974  0.01946736]
[-0.98033504  0.02194469]
[-0.95594047  0.02439457]
[-0.92813901  0.02780146]
[-0.89699533  0.03114368]
[-0.86460119  0.03239414]
[-0.83107285  0.03352834]
[-0.79555185  0.035521  ]
[-0.75821006  0.03734179]
[-0.7182504   0.03995965]
[-0.67591243  0.04233797]
[-0.63247145  0.04344098]
[-0.58822836  0.04424309]
[-0.54350358  0.04472478]
[-0.4986296   0.04487398]
[-0.45394272  0.04468688]
[-0.40977446  0.04416826]
[-0.3674434   0.04233107]
[-0.32724112  0.04020227]
[-0.28942783  0.0378133 ]
[-0.25222987  0.03719795]
[-0.2158497   0.03638017]
[-0.18146344  0.03438626]
[-0.14921579  0.03224765]
[-0.11922181  0.02999398]
[-0.09156962  0.02765219]
[-0.06632369  0.02524593]
[-0.04252844  0.02379525]
[-0.02021287  0.02231557]
[-0.0013927   0.01882017]
[0.01392749 0.01532019]
[0.02674986 0.01282237]
[0.03808028 0.01133042]
[0.04792699 0.00984671]
[0.0542995  0.00637251]
[0.05720511 0.00290561]
[ 0.05664744 -0.00055767]
[ 0.05462578 -0.00202166]
[ 0.05113762 -0.00348816]
[ 0.04517882 -0.0059588 ]
[ 0.03674295 -0.00843587]
[ 0.02482225 -0.0119207 ]
[ 0.00940848 -0.01541377]
[-0.00950429 -0.01891277]
[-0.03091605 -0.02141176]
[-0.05481706 -0.02390101]
[-0.08218435 -0.02736728]
[-0.11197603 -0.02979168]
[-0.14412797 -0.03215194]
[-0.17854984 -0.03442187]
[-0.21612155 -0.03757171]
[-0.25668595 -0.04056439]
[-0.29904501 -0.04235907]
[-0.34296371 -0.0439187 ]
[-0.38817183 -0.04520812]
